Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
KING STATION (200 FEET,1,0,,,,,,,,,,
KENNEDY TO WARDEN,1,0,,,,,,,,,,
KENNEDY TO VICTORIA PA,1,0,,,,,,,,,,
KENNEDY BD STATION- PL,1,0,,,,,,,,,,
KENNEDY BD STATION APP,1,0,,,,,,,,,,
KENENDY STATION,1,0,,,,,,,,,,
KEELE TO OSSINGTON,1,11,,,,,,,,,,
JANE TO ST GEORGE STAT,1,0,,,,,,,,,,
JANE TO KEELE STATIONS,1,0,,,,,,,,,,
JANE STATION TO KIPLIN,1,0,,,,,,,,,,
JANE AND HWY 407,1,0,,,,,,,,,,
ISLINGTON TO HIGH PARK,1,0,,,,,,,,,,
ISLINGTON TO COXWELL S,1,6,,,,,,,,,,
ISLINGTON STATION LEAV,1,7,,,,,,,,,,
ISLINGTON STATION (APP,1,7,,,,,,,,,,
ISLINGTON CENTRE TRACK,1,0,,,,,,,,,,
INTERCHANGE WAY EE,1,0,,,,,,,,,,
HILLCREST - GUNN BUILD,1,0,,,,,,,,,,
HARVEY SHOP,1,0,,,,,,,,,,
GUNN BUILDING - ELEVAT,1,0,,,,,,,,,,
GUNN BUILDING,1,0,,,,,,,,,,
GREENWOOD WOOD,1,0,,,,,,,,,,
GREENWOOD TRACK BUILDI,1,0,,,,,,,,,,
GREENWOOD GATEHOUSE,1,0,,,,,,,,,,
GREENWOOD CARHOUSE - T,1,0,,,,,,,,,,
GREENWOOD CAR HOUSE,1,0,,,,,,,,,,
FINCH WEST TO VMC,1,0,,,,,,,,,,
FINCH WEST TO PIONEER,1,0,,,,,,,,,,
FINCH WEST STATION (EN,1,0,,,,,,,,,,
FINCH WEST STATION (AP,1,0,,,,,,,,,,
FINCH TO ST CLAIR,1,0,,,,,,,,,,
FINCH TO EGLINTON STAT,1,0,,,,,,,,,,
FINCH TAIL,1,22,,,,,,,,,,
FINCH STATION- PLATFOR,1,5,,,,,,,,,,
FINCH STATION TO ST GE,1,5,,,,,,,,,,
FINCH STATION BUS BAY,1,0,,,,,,,,,,
FINCH STATION (PLATFOR,1,0,,,,,,,,,,
FINCH STATION (PLAT #2,1,0,,,,,,,,,,
FINCH STATION ( PLAT 2,1,4,,,,,,,,,,
ENTERING END - CASTLE,1,0,,,,,,,,,,
EGLINTON TO LAWRENCE S,1,0,,,,,,,,,,
EGLINTON TO FINCH,1,0,,,,,,,,,,
EGLINTON STATION (APPR,1,3,,,,,,,,,,
EGLINTON STATION - FIN,1,0,,,,,,,,,,
EARLY CLOSURE: KIPLING,1,0,,,,,,,,,,
EARLY CLOSURE LINE 1 Y,1,0,,,,,,,,,,
EARLY CLOSURE,1,0,,,,,,,,,,
EARLY ACCESS CLOSURE F,1,0,,,,,,,,,,
DUPONT TO ST GEORGE,1,0,,,,,,,,,,
DUNDAS STATION/SUMMERH,1,0,,,,,,,,,,
DUNCAN WAREHOUSE,1,0,,,,,,,,,,
DUNCAN SUBSTATION,1,0,,,,,,,,,,
DUNCAN SHOPS BRAKE SEC,1,0,,,,,,,,,,
DUNCAN SHOPS,1,0,,,,,,,,,,
DONLANDS TO GREENWOOD,1,129,,,,,,,,,,
DON MILLS STATION- PLA,1,5,,,,,,,,,,
DAVISVILLE TRACK AND S,1,0,,,,,,,,,,
DAVISVILLE TRACK & STR,1,0,,,,,,,,,,
DAVISVILLE STRUCTURE,1,0,,,,,,,,,,
DAVISVILLE STATION (BU,1,3,,,,,,,,,,
DAVISVILLE STATION (AP,1,9,,,,,,,,,,
DAVISVILLE CAR HOUSE,1,0,,,,,,,,,,
DAVISVILLE - ST. CLAIR,1,15,,,,,,,,,,
DANFORTH DIVSION,1,0,,,,,,,,,,
COXWELL STATION APPROA,1,184,,,,,,,,,,
COLLEGE TO OSGOODE LIN,1,0,,,,,,,,,,
COLLEGE STATION TO OSG,1,0,,,,,,,,,,
COLLEGE STATION LEAVIN,1,0,,,,,,,,,,
COLLEGE AND WELLESLEY,1,0,,,,,,,,,,
CLANTON PARK,1,0,,,,,,,,,,
CHURCH EE,1,0,,,,,,,,,,
CHESTER CENTRE TRACK,1,0,,,,,,,,,,
CELEDONIA STATION,1,0,,,,,,,,,,
CALENDONIA STATION,1,0,,,,,,,,,,
"BROADVIEW, CASTLE FRAN",1,0,,,,,,,,,,
BROADVIEW TO WOODBINE,1,0,,,,,,,,,,
BROADVIEW STATION TO S,1,0,,,,,,,,,,
BROADVIEW STATION (LEA,1,5,,,,,,,,,,
BLOOR-DANFORTH SUBWAY,1,0,,,,,,,,,,
BLOOR YONGE,1,0,,,,,,,,,,
BLOOR TO ROSEDALE STAT,1,28,,,,,,,,,,
BIRCHMOUNT DIVISION,1,0,,,,,,,,,,
BETWEEN SHERBOURNE AND,1,0,,,,,,,,,,
BAYVIEW SUBSTATION,1,0,,,,,,,,,,
BATHURST TO CHRISTIE,1,0,,,,,,,,,,
B/W BLOOR DANFORTH SUB,1,0,,,,,,,,,,
AVENUE ECLRT STATION,1,0,,,,,,,,,,
ASQUITH SUBSTATION,1,0,,,,,,,,,,
ARROW GARAGE,1,0,,,,,,,,,,
APPROACHING OLD MILL S,1,10,,,,,,,,,,
APPROACHING FINCH STAT,1,0,,,,,,,,,,
ALL OPEN CUT AREA,1,0,,,,,,,,,,
250 BLOOR ST E,1,0,,,,,,,,,,
1 ST CLAIR AVENUE EAST,1,0,,,,,,,,,,
Grand Total,25713,3,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day,COUNTA of _id,AVERAGE of Min Delay,,,,,,,,,,
Friday,3893,3,,,,,,,,,,
Monday,3878,3,,,,,,,,,,
Saturday,3246,3,,,,,,,,,,
Sunday,2942,3,,,,,,,,,,
Thursday,3910,3,,,,,,,,,,
Tuesday,3809,3,,,,,,,,,,
Wednesday,4035,3,,,,,,,,,,
Grand Total,25713,3,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Day,COUNTA of _id,AVERAGE of Min Delay,,,,,,,,,,
Friday,1398,7,,,,,,,,,,
Monday,1371,7,,,,,,,,,,
Saturday,1067,8,,,,,,,,,,
Sunday,946,10,,,,,,,,,,
Thursday,1377,8,,,,,,,,,,
Tuesday,1423,8,,,,,,,,,,
Wednesday,1512,8,,,,,,,,,,
Grand Total,9094,8,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Delay_Category,COUNTA of _id,AVERAGE of Min Delay,,,,,,,,,,
Major,749,34,,,,,,,,,,
Minor,5582,4,,,,,,,,,,
Moderate,2763,9,,,,,,,,,,
No Delay,16619,0,,,,,,,,,,
Grand Total,25713,3,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Month,SUM of _id,AVERAGE of Min Delay,,,,,,,,,,
Apr,"5,525,479",8,,,,,,,,,,
Aug,"11,998,562",7,,,,,,,,,,
Dec,"20,715,594",8,,,,,,,,,,
Feb,"3,003,665",10,,,,,,,,,,
Jan,"855,313",8,,,,,,,,,,
Jul,"9,360,044",8,,,,,,,,,,
Jun,"7,717,630",8,,,,,,,,,,
Mar,"4,278,133",8,,,,,,,,,,
May,"6,992,294",7,,,,,,,,,,
Nov,"18,656,325",7,,,,,,,,,,
Oct,"14,248,799",7,,,,,,,,,,
Sep,"11,236,385",7,,,,,,,,,,
Grand Total,"114,588,223",8,,,,,,,,,,
