Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
YONGE-UNIVERSITY AND B,325,0,,,,,,,,,,
SHERBOURNE STATION,324,2,,,,,,,,,,
QUEEN STATION,321,2,,,,,,,,,,
DON MILLS STATION,321,3,,,,,,,,,,
LAWRENCE STATION,317,6,,,,,,,,,,
BATHURST STATION,314,1,,,,,,,,,,
ST CLAIR WEST STATION,312,3,,,,,,,,,,
SHEPPARD-YONGE STATION,310,4,,,,,,,,,,
KING STATION,310,4,,,,,,,,,,
GREENWOOD STATION,302,4,,,,,,,,,,
DONLANDS STATION,301,3,,,,,,,,,,
SPADINA BD STATION,296,2,,,,,,,,,,
YORK MILLS STATION,295,4,,,,,,,,,,
SHEPPARD STATION,290,3,,,,,,,,,,
WOODBINE STATION,286,2,,,,,,,,,,
EGLINTON WEST STATION,254,3,,,,,,,,,,
LAWRENCE WEST STATION,251,3,,,,,,,,,,
ROYAL YORK STATION,250,2,,,,,,,,,,
ROSEDALE STATION,247,5,,,,,,,,,,
DUFFERIN STATION,243,2,,,,,,,,,,
JANE STATION,241,3,,,,,,,,,,
PAPE STATION,236,2,,,,,,,,,,
CHRISTIE STATION,234,2,,,,,,,,,,
SPADINA YUS STATION,224,2,,,,,,,,,,
OSGOODE STATION,224,3,,,,,,,,,,
BAY STATION,219,3,,,,,,,,,,
QUEEN'S PARK STATION,211,2,,,,,,,,,,
CHESTER STATION,204,3,,,,,,,,,,
ST ANDREW STATION,203,3,,,,,,,,,,
OLD MILL STATION,196,2,,,,,,,,,,
HIGH PARK STATION,196,3,,,,,,,,,,
YORKDALE STATION,188,6,,,,,,,,,,
ST PATRICK STATION,185,2,,,,,,,,,,
CASTLE FRANK STATION,185,3,,,,,,,,,,
